Points,Area,Error
100,1.06943,0.124918
600,1.10184,0.157325
1100,1.07827,0.133756
1600,1.05121,0.106689
2100,1.04629,0.10177
2600,1.00587,0.06135
3100,1.00985,0.0653305
3600,0.991118,0.0466006
4100,0.967471,0.0229539
4600,0.948965,0.00444782
5100,0.951244,0.0067271
5600,0.944436,-8.11217e-05
6100,0.935556,-0.00896082
6600,0.925076,-0.0194412
7100,0.916072,-0.0284455
7600,0.929999,-0.0145181
8100,0.920602,-0.0239149
8600,0.933777,-0.0107399
9100,0.941231,-0.00328622
9600,0.930692,-0.0138252
10100,0.925047,-0.0194704
10600,0.916265,-0.0282517
11100,0.927544,-0.0169729
11600,0.925279,-0.019238
12100,0.942485,-0.00203244
12600,0.947522,0.00300527
13100,0.956628,0.0121113
13600,0.963635,0.0191181
14100,0.958423,0.0139061
14600,0.956898,0.0123807
15100,0.956761,0.012244
15600,0.95601,0.0114928
16100,0.955909,0.0113922
16600,0.959329,0.0148117
17100,0.960274,0.0157569
17600,0.959509,0.0149913
18100,0.959322,0.0148052
18600,0.953397,0.00887937
19100,0.959997,0.0154801
19600,0.963781,0.0192639
20100,0.963024,0.0185063
20600,0.96419,0.0196733
21100,0.964841,0.0203242
21600,0.959611,0.0150936
22100,0.958576,0.014059
22600,0.960599,0.0160815
23100,0.963375,0.0188581
23600,0.96727,0.022753
24100,0.964549,0.0200317
24600,0.971423,0.026906
25100,0.975312,0.0307951
25600,0.969935,0.0254178
26100,0.974821,0.0303039
26600,0.973676,0.0291584
27100,0.972572,0.0280552
27600,0.971509,0.0269919
28100,0.968408,0.0238906
28600,0.968814,0.0242971
29100,0.968539,0.0240214
29600,0.966301,0.0217843
30100,0.964785,0.0202675
30600,0.965859,0.0213421
31100,0.964086,0.0195686
31600,0.96483,0.0203125
32100,0.962825,0.0183074
32600,0.963267,0.0187497
33100,0.963402,0.0188848
33600,0.963533,0.0190159
34100,0.96366,0.0191432
34600,0.966594,0.0220767
35100,0.967228,0.0227107
35600,0.96839,0.0238731
36100,0.967366,0.0228488
36600,0.967698,0.0231807
37100,0.968021,0.0235036
37600,0.969111,0.0245936
38100,0.966089,0.0215722
38600,0.967176,0.022659
39100,0.967738,0.0232207
39600,0.967303,0.0227862
40100,0.968092,0.0235748
40600,0.965509,0.0209915
41100,0.964408,0.0198903
41600,0.962865,0.0183482
42100,0.961129,0.0166118
42600,0.963085,0.0185676
43100,0.964093,0.0195758
43600,0.96374,0.019223
44100,0.962514,0.0179963
44600,0.961968,0.0174511
45100,0.959926,0.015409
45600,0.961553,0.0170362
46100,0.963356,0.0188389
46600,0.962199,0.0176822
47100,0.963131,0.0186142
47600,0.963431,0.0189138
48100,0.962107,0.0175902
48600,0.962411,0.0178943
49100,0.961719,0.017202
49600,0.962021,0.0175038
50100,0.96057,0.0160531
50600,0.961454,0.0169367
51100,0.960798,0.016281
51600,0.961286,0.0167684
52100,0.960271,0.0157537
52600,0.960015,0.0154975
53100,0.961228,0.0167109
53600,0.961331,0.0168134
54100,0.959095,0.0145778
54600,0.960105,0.0155883
55100,0.959862,0.0153452
55600,0.961897,0.0173798
56100,0.961469,0.0169518
56600,0.961907,0.0173903
57100,0.962679,0.0181616
57600,0.964956,0.0204386
58100,0.965353,0.0208357
58600,0.963918,0.0194011
59100,0.962672,0.0181552
59600,0.961937,0.0174197
60100,0.963155,0.0186375
60600,0.963711,0.0191936
61100,0.96378,0.0192631
61600,0.96448,0.0199629
62100,0.963603,0.0190858
62600,0.964448,0.0199311
63100,0.963894,0.0193764
63600,0.964112,0.0195946
64100,0.96281,0.0182928
64600,0.963033,0.0185161
65100,0.964747,0.0202293
65600,0.965989,0.0214719
66100,0.966919,0.0224014
66600,0.966666,0.0221492
67100,0.966853,0.0223355
67600,0.965742,0.0212246
68100,0.964362,0.0198445
68600,0.963002,0.0184845
69100,0.962928,0.0184104
69600,0.961877,0.0173597
70100,0.961535,0.0170173
70600,0.961886,0.0173684
71100,0.962779,0.0182614
71600,0.962166,0.0176484
72100,0.9621,0.0175832
72600,0.961367,0.0168494
73100,0.961441,0.0169236
73600,0.960193,0.0156758
74100,0.961193,0.0166754
74600,0.960745,0.0162279
75100,0.960563,0.0160454
75600,0.959482,0.014965
76100,0.958161,0.0136434
76600,0.959395,0.0148774
77100,0.958217,0.0136996
77600,0.957806,0.0132886
78100,0.9574,0.0128829
78600,0.958236,0.0137193
79100,0.957342,0.0128244
79600,0.956824,0.0123071
80100,0.957042,0.0125245
80600,0.956895,0.0123774
81100,0.957229,0.0127116
81600,0.956367,0.0118503
82100,0.956582,0.0120652
82600,0.955735,0.0112182
83100,0.955601,0.0110834
83600,0.955467,0.0109501
84100,0.954989,0.0104717
84600,0.954861,0.0103437
85100,0.954849,0.0103314
85600,0.955518,0.0110007
86100,0.955389,0.0108718
86600,0.954476,0.00995856
87100,0.954466,0.00994877
87600,0.953346,0.00882925
88100,0.95235,0.00783279
88600,0.952352,0.00783516
89100,0.952136,0.00761927
89600,0.952031,0.0075143
90100,0.950849,0.00633145
90600,0.95043,0.00591282
91100,0.95055,0.00603237
91600,0.94897,0.00445244
92100,0.949624,0.00510643
92600,0.950061,0.00554338
93100,0.950284,0.00576678
93600,0.949882,0.00536458
94100,0.949587,0.00506997
94600,0.949193,0.00467571
95100,0.948394,0.00387667
95600,0.949535,0.00501821
96100,0.948541,0.00402336
96600,0.949066,0.00454847
97100,0.949285,0.00476779
97600,0.949502,0.00498486
98100,0.948627,0.00410958
98600,0.950127,0.00560961
99100,0.949944,0.00542673
99600,0.948787,0.00426958